,title,content
0,Philippines: Typhoon Rai (Odette) Who-What-Where (3W) Snapshot (As of 14 January 2022),"

Please refer to the attached Infographic.
"
1,Philippines: Super Typhoon Rai (Odette) - Situation Report No. 2 (As of 13 January 2022),"

This report is produced by OCHA Philippines in collaboration with humanitarian partners under the Philippines Humanitarian Country Team. It covers the period from 30 December 2021 to 13 January 2022...
"
2,Japan provides USD 13 million for Typhoon Odette response,"
On January 14, the Government of Japan decided to provide an Emergency Grant Aid of USD 13 million (approximately PHP 663 million) to the Philippines in response to the damages caused by Typhoon...
"
3,"IDP Protection Assessment Report - Forced Displacement in Hadji Mohammad Ajul Municipality, Basilan Province due to Clan Feud (IDPPAR No. 01, 2022: Issue No. 2)","

INCIDENT BACKGROUND On 28 December 2021, at around 2:00 o’clock in the afternoon, a series of armed encounter occurred between two warring families in Brgy. Langong in the municipality of Hadji...
"
4,"Philippines: Mindanao Displacement Dashboard, November 2021 - Issue No. 87","

As of the 30th of November, an estimated total number of 23,730 families (approximately 116,661 individuals) are currently displaced in Mindanao. Those displaced can be classified into three main...
"
5,"DSWD DROMIC Report #2 on the Flooding Incident in Zamboanga del Sur and Zamboanga Sibugay as of 13 January 2022, 6PM","

I. Situation Overview On 16 November 2021, several municipalities of Zamboanga Del Sur and Zamboanga Sibugay experience floodings due to continuous heavy rainfall brought by the Intertropical...
"
6,"DSWD DROMIC Report #52 on Typhoon “ODETTE” as of 13 January 2022, 6PM","

I. Situation Overview On 14 December 2021, the center of Severe Tropical Storm (STS) “ODETTE” was estimated on all available data at 890 km east of Mindanao (8.3°N, 134.4°E). On 15 December 2021,...
"
7,Philippines: Super Typhoon Rai (Odette) Humanitarian Snapshot (As of 13 January 2022),"

As of 13 January 2022, a total of 8 million people are affected across 11 regions in 8,779 barangays or villages. Around 200,000 displaced people are reported in five regions with 160,000 people...
"
8,WFP Philippines - Typhoon Odette - Situation Report #5 (13 January 2022),"

In Numbers 8 million people affected 10 regions affected 208,480 people still displaced 111,500 ha of affected crop areas Highlights • Twelve new mobile storage units arrived from the UN Humanitarian...
"
9,UNICEF Philippines Super Typhoon Rai/Odette - Humanitarian Situation Report No. 1 (13 January 2022),"

Highlights Typhoon Rai (local name Odette) entered the Philippines on 14 December as a category 5, making the first landfall in Siargao Island, Surigao del Norte on 16 December. It made eight more...
"
10,"NDRRMC Situational Report No. 30 for Typhoon ODETTE (2021), January 13, 2022 08:00 am","

Typhoon “ODETTE” Landfalls: 1:30 PM, 16 December 2021 in Siargao Island, Surigao del Norte 3:10 PM, 16 December 2021 in Cagdianao, Dinagat Islands 4:50 PM, 16 December 2021 in Liloan, Southern Leyte ...
"
11,"Philippines, Asia Pacific: Typhoon Rai (Odette) - Emergency Appeal No. MDRPH045 - Operation update #1","

To date, this Emergency Appeal, which seeks CHF 20 million, is 11percent funded. Further funding contributions are needed to enable the Philippine Red Cross (PRC) and IFRC to continue to assist...
"
12,"DSWD DROMIC Report #51 on Typhoon “ODETTE” as of 12 January 2022, 6PM","

I. Situation Overview On 14 December 2021, the center of Severe Tropical Storm (STS) “ODETTE” was estimated on all available data at 890 km east of Mindanao (8.3°N, 134.4°E). On 15 December 2021,...
"
13,Negros Occidental Typhoon Rai (Odette) Assessment Report,"

(excerpt) 3. Rapid Multi-Sectoral Assessment Executive Summary ADRA's team was immediately deployed to conduct a Rapid Multi-Sectoral Assessment on the impacts of TY Odette in the Province of Negros...
"
14,"NDRRMC Situational Report No. 29 for Typhoon ODETTE (2021), January 11, 2022 08:00 am","

Typhoon “ODETTE” Landfalls: 1:30 PM, 16 December 2021 in Siargao Island, Surigao del Norte 3:10 PM, 16 December 2021 in Cagdianao, Dinagat Islands 4:50 PM, 16 December 2021 in Liloan, Southern Leyte ...
"
15,Philippines: Tropical Cyclone Rai/Odette - Value of Government Assistance by Municipality (As of 9 January 2022),"

Please refer to the attached Map.
"
16,DSWD distributes kitchen kits to Odette-hit families,"
In continuation of its disaster relief operations, the Department of Social Welfare and Development (DSWD) has started the distribution of kitchen kits to internally displaced persons in areas...
"
17,"DSWD DROMIC Report #50 on Typhoon “ODETTE” as of 11 January 2022, 6PM","

I. Situation Overview On 14 December 2021, the center of Severe Tropical Storm (STS) “ODETTE” was estimated on all available data at 890 km east of Mindanao (8.3°N, 134.4°E). On 15 December 2021,...
"
18,Philippines Super Typhoon Impact Comparison,"

Eight years after Super Typhoon Haiyan (known locally as Yolanda), the most destructive storm to hit the Philippines, Super Typhoon Rai (known locally as Odette) brought similar torrential rains,...
"
19,Asia and the Pacific: Weekly Regional Humanitarian Snapshot (4 - 10 January 2022),"

MYANMAR Armed clashes have intensified between the Myanmar Armed Forces (MAF) and various local People’s Defence Forces (PDFs) across northwest and southeast Myanmar. This has resulted in further...
"
